Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2017-11-12,"Saputo Cheese Usa Inc., Frigo, Cheeseheads, Light String Cheese","2.00 Serving",99.84,,,,,,,,,,,399.84,0.00,,,,399.84,,0.00,,,,,,399.84,,2.00,0.00,,0.00,2.00,5.00,20.16,,,,,3.00,0.00,,,,,,,,14.00,,,,
2017-11-12,"Walnuts","1.50 tbsp, chopped",71.94,0.00,0.00,0.45,0.04,0.02,0.12,0.06,0.06,0.00,10.78,2.20,0.14,0.00,0.08,0.30,10.78,0.17,0.32,17.38,0.38,38.06,48.51,0.54,0.22,0.34,1.51,0.74,0.01,0.29,0.77,7.17,0.00,0.98,1.00,4.19,5.19,0.67,0.00,0.02,0.04,0.07,0.13,0.05,0.03,0.08,1.68,0.07,0.02,0.04,0.08
2017-11-12,"Broccoli, Cooked from Frozen","2.00 FDA Serving Size",47.60,0.00,0.00,154.22,0.09,0.14,0.78,0.47,0.22,0.00,95.20,1718.70,68.17,0.00,1.92,149.77,56.10,0.06,1.04,22.10,0.38,83.30,241.40,1.19,18.70,0.48,9.09,5.10,1.16,2.50,3.99,0.20,0.00,0.01,0.07,0.02,0.09,0.03,0.00,0.04,0.09,0.21,0.25,0.27,0.06,0.16,5.27,0.17,0.05,0.12,0.24
2017-11-12,"Chicken Breast, Skin Removed Before Cooking","1.00 medium - split",207.60,0.00,0.00,77.71,0.08,0.14,14.91,1.17,0.72,0.41,4.80,34.80,0.00,6.00,0.32,0.36,18.00,0.06,1.27,32.40,0.02,259.20,296.40,29.28,92.40,1.48,0.00,0.00,0.00,0.00,0.00,5.41,102.00,1.85,0.12,0.98,1.18,1.52,0.11,0.48,1.15,1.96,2.78,3.15,1.03,1.47,37.09,1.57,0.43,1.25,1.84
2017-11-12,"Kimchi","7.00 FDA Serving Size",116.56,0.00,0.00,557.88,0.21,0.38,5.10,0.59,1.00,0.18,249.32,14863.18,222.51,0.00,0.86,220.30,430.61,0.32,4.26,86.54,0.86,223.46,1265.35,4.34,1010.77,1.17,17.45,5.01,2.71,7.74,12.44,2.12,0.00,0.28,0.59,0.35,0.93,0.39,0.00,0.14,0.24,0.54,0.73,0.72,0.16,0.38,11.04,0.41,0.12,0.29,0.52
2017-11-12,"Chicken Drumstick, Skin Eaten","1.00 medium",119.48,0.00,0.00,35.76,0.03,0.21,4.12,0.58,0.25,0.96,5.22,27.26,0.00,8.70,0.05,0.00,9.86,0.07,0.84,15.66,0.01,124.70,132.24,17.52,60.90,1.94,0.04,0.00,0.00,0.00,0.04,5.77,77.72,2.08,0.10,1.53,1.66,1.70,0.08,0.15,0.41,0.44,1.06,1.26,0.40,0.50,15.82,0.55,0.16,0.45,0.50
2017-11-13,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-11-13,"Spring Valley, Magnesium Citrate","2.00 capsule",,,,,,,,,,,,,,,,,,,,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13,"Whey Protein Powder, 24 Grams of Protein per Scoop","2.00 scoop",247.93,0.00,0.00,2.80,0.17,0.56,0.31,1.53,0.17,0.68,9.56,98.90,0.24,0.00,0.08,1.84,200.00,0.02,0.41,35.54,0.01,306.34,297.25,9.10,181.00,2.13,7.78,0.00,0.00,7.78,7.78,1.90,5.05,0.36,0.00,0.43,0.49,0.71,0.00,0.85,0.92,2.33,4.49,4.05,0.88,1.55,47.08,2.37,0.97,1.20,2.33
2017-11-13,"Walnuts","0.93 Serving (6 tbsp, ground)",183.12,0.00,0.00,1.14,0.10,0.04,0.31,0.16,0.15,0.00,27.44,5.60,0.36,0.00,0.20,0.76,27.44,0.44,0.81,44.24,0.96,96.88,123.48,1.37,0.56,0.87,3.84,1.88,0.02,0.73,1.96,18.26,0.00,2.50,2.54,10.67,13.21,1.72,0.00,0.06,0.11,0.18,0.33,0.12,0.07,0.20,4.26,0.17,0.05,0.11,0.21
2017-11-13,"Chicken Drumstick, Skin Eaten","4.00 medium",477.92,0.00,0.00,143.05,0.13,0.85,16.48,2.33,1.00,3.85,20.88,109.04,0.00,34.80,0.19,0.00,39.44,0.29,3.36,62.64,0.04,498.80,528.96,70.06,243.60,7.77,0.16,0.00,0.00,0.00,0.16,23.08,310.88,8.34,0.39,6.12,6.65,6.80,0.32,0.58,1.65,1.75,4.24,5.02,1.59,1.99,63.27,2.21,0.64,1.80,1.99
2017-11-13,"Kimchi","7.00 FDA Serving Size",116.56,0.00,0.00,557.88,0.21,0.38,5.10,0.59,1.00,0.18,249.32,14863.18,222.51,0.00,0.86,220.30,430.61,0.32,4.26,86.54,0.86,223.46,1265.35,4.34,1010.77,1.17,17.45,5.01,2.71,7.74,12.44,2.12,0.00,0.28,0.59,0.35,0.93,0.39,0.00,0.14,0.24,0.54,0.73,0.72,0.16,0.38,11.04,0.41,0.12,0.29,0.52
2017-11-13,"Wendy's, Side Salad","1.00 each",16.48,0.00,0.00,92.82,0.05,0.04,0.24,0.11,0.06,0.00,54.56,2356.40,6.08,0.00,0.35,69.47,25.83,0.04,0.63,13.60,0.19,24.08,194.56,0.22,14.22,0.20,3.41,1.42,0.01,1.84,1.99,0.18,0.00,0.01,0.06,0.03,0.09,0.03,0.00,0.01,0.02,0.03,0.05,0.04,0.01,0.04,1.09,0.04,0.01,0.02,0.04
2017-11-13,"Kraft, Ranch Dressing","2.00 tbsp",122.68,0.00,0.00,14.86,0.00,0.00,0.00,0.01,0.01,0.00,0.42,0.00,0.09,0.00,1.14,23.99,2.52,0.00,0.05,0.84,0.01,3.11,8.50,6.07,420.60,0.03,0.58,0.09,0.23,0.04,0.49,13.44,0.00,3.36,0.88,6.60,7.48,2.09,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00
2017-11-13,"Spinach, Raw","4.00 cup, cut pieces",27.60,0.00,0.00,109.68,0.09,0.23,0.87,0.08,0.23,0.00,232.81,11252.82,33.72,0.00,2.35,579.50,118.80,0.16,3.25,94.80,1.08,58.80,669.63,1.20,94.80,0.64,4.36,2.64,0.12,0.50,1.72,0.47,0.00,0.01,0.17,0.03,0.20,0.08,0.00,0.04,0.08,0.18,0.27,0.21,0.06,0.15,3.43,0.15,0.05,0.13,0.19
2017-11-14,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-14,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-14,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-11-14,"Spring Valley, Magnesium Citrate","1.00 capsule",,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-14,"Morton, Salt Mixture, Lite","2.00 x 0.25 Teaspoon",0.01,0.00,,,,,,,,0.00,,,,,,,1.12,,,1.68,,,708.40,,551.60,,0.03,,,,0.03,0.03,,,,,,,,,,,,,,,0.00,,,,
2017-11-14,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted","1.00 x 0.25 cup",180.04,,,,,,,,,,,0.00,0.00,,,,19.88,,1.44,,,,,,210.00,,4.00,3.00,,1.00,1.01,14.00,0.00,,,,,2.00,0.00,,,,,,,,8.00,,,,
2017-11-14,"Walnuts","0.94 Serving (6 tbsp, ground)",185.41,0.00,0.00,1.15,0.10,0.04,0.32,0.16,0.15,0.00,27.78,5.67,0.37,0.00,0.20,0.77,27.78,0.45,0.82,44.79,0.97,98.09,125.02,1.39,0.57,0.88,3.89,1.90,0.02,0.74,1.99,18.49,0.00,2.53,2.57,10.80,13.37,1.74,0.00,0.06,0.11,0.18,0.33,0.12,0.07,0.20,4.32,0.17,0.05,0.12,0.21
2017-11-14,"Chicken Drumstick, Skin Eaten","4.30 medium",513.76,0.00,0.00,153.78,0.14,0.91,17.71,2.50,1.07,4.14,22.45,117.22,0.00,37.41,0.20,0.00,42.40,0.31,3.62,67.34,0.04,536.21,568.63,75.32,261.87,8.35,0.17,0.00,0.00,0.00,0.17,24.82,334.20,8.96,0.42,6.58,7.15,7.31,0.34,0.63,1.77,1.88,4.56,5.40,1.71,2.14,68.01,2.37,0.69,1.94,2.14
2017-11-14,"Kimchi","0.67 FDA Serving Size",11.11,0.00,0.00,53.16,0.02,0.04,0.49,0.06,0.10,0.02,23.76,1416.35,21.20,0.00,0.08,20.99,41.03,0.03,0.41,8.25,0.08,21.29,120.58,0.41,96.32,0.11,1.66,0.48,0.26,0.74,1.19,0.20,0.00,0.03,0.06,0.03,0.09,0.04,0.00,0.01,0.02,0.05,0.07,0.07,0.02,0.04,1.05,0.04,0.01,0.03,0.05
2017-11-14,"Chicken Breast, Skin Removed Before Cooking","1.03 small - split",186.84,0.00,0.00,69.94,0.07,0.13,13.41,1.05,0.65,0.37,4.32,31.32,0.00,5.40,0.29,0.32,16.20,0.05,1.14,29.16,0.02,233.28,266.76,26.35,83.16,1.33,0.00,0.00,0.00,0.00,0.00,4.87,91.80,1.66,0.11,0.89,1.06,1.37,0.10,0.43,1.04,1.76,2.50,2.84,0.92,1.32,33.38,1.41,0.39,1.13,1.66
2017-11-14,"Sargento Foods Inc, Light String Cheese","1.00 PIECE",49.98,,,,,,,,,,,199.92,0.00,,,,149.94,,0.00,,,99.96,19.95,,160.02,,1.00,0.00,,0.00,1.00,2.50,10.08,,,,,1.50,0.00,,,,,,,,6.00,,,,
2017-11-14,"Broccoli, Cooked From Fresh","2.00 cup, chopped",109.20,0.00,0.00,278.45,0.20,0.38,1.73,1.92,0.62,0.00,336.95,4829.67,202.48,0.00,6.30,439.91,124.80,0.19,2.09,65.52,0.61,209.04,914.14,4.99,127.92,1.40,22.40,10.30,0.00,4.34,12.11,1.28,0.00,0.12,0.37,0.16,0.53,0.25,0.00,0.10,0.20,0.29,0.46,0.48,0.13,0.36,7.43,0.30,0.11,0.19,0.43
2017-11-15,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-15,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-15,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-11-15,"Spring Valley, Magnesium Citrate","1.00 capsule",,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-15,"Chicken Drumstick, Skin Eaten","3.20 medium",382.34,0.00,0.00,114.44,0.11,0.68,13.18,1.86,0.80,3.08,16.70,87.23,0.00,27.84,0.15,0.00,31.55,0.23,2.69,50.11,0.03,399.04,423.17,56.05,194.88,6.22,0.13,0.00,0.00,0.00,0.13,18.47,248.70,6.67,0.31,4.90,5.32,5.44,0.25,0.47,1.32,1.40,3.39,4.02,1.27,1.59,50.61,1.77,0.51,1.44,1.59
2017-11-15,"Walnuts","0.94 Serving (6 tbsp, ground)",185.41,0.00,0.00,1.15,0.10,0.04,0.32,0.16,0.15,0.00,27.78,5.67,0.37,0.00,0.20,0.77,27.78,0.45,0.82,44.79,0.97,98.09,125.02,1.39,0.57,0.88,3.89,1.90,0.02,0.74,1.99,18.49,0.00,2.53,2.57,10.80,13.37,1.74,0.00,0.06,0.11,0.18,0.33,0.12,0.07,0.20,4.32,0.17,0.05,0.12,0.21
2017-11-15,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted","1.00 x 0.25 cup",180.04,,,,,,,,,,,0.00,0.00,,,,19.88,,1.44,,,,,,210.00,,4.00,3.00,,1.00,1.01,14.00,0.00,,,,,2.00,0.00,,,,,,,,8.00,,,,
2017-11-15,"Kimchi","0.67 FDA Serving Size",11.11,0.00,0.00,53.16,0.02,0.04,0.49,0.06,0.10,0.02,23.76,1416.35,21.20,0.00,0.08,20.99,41.03,0.03,0.41,8.25,0.08,21.29,120.58,0.41,96.32,0.11,1.66,0.48,0.26,0.74,1.19,0.20,0.00,0.03,0.06,0.03,0.09,0.04,0.00,0.01,0.02,0.05,0.07,0.07,0.02,0.04,1.05,0.04,0.01,0.03,0.05
2017-11-15,"Chicken Drumstick, Skin Eaten","2.20 medium",262.86,0.00,0.00,78.68,0.07,0.47,9.06,1.28,0.55,2.12,11.48,59.97,0.00,19.14,0.10,0.00,21.69,0.16,1.85,34.45,0.02,274.34,290.93,38.54,133.98,4.27,0.09,0.00,0.00,0.00,0.09,12.70,170.98,4.59,0.22,3.37,3.66,3.74,0.17,0.32,0.91,0.96,2.33,2.76,0.88,1.10,34.80,1.21,0.35,0.99,1.10
2017-11-15,"Broccoli, Cooked from Frozen","4.00 FDA Serving Size",95.20,0.00,0.00,308.45,0.19,0.28,1.56,0.93,0.44,0.00,190.40,3437.40,136.34,0.00,3.84,299.54,112.20,0.12,2.07,44.20,0.76,166.60,482.80,2.38,37.40,0.95,18.19,10.20,2.31,5.00,7.99,0.41,0.00,0.03,0.14,0.04,0.19,0.06,0.00,0.07,0.19,0.41,0.49,0.53,0.13,0.32,10.54,0.34,0.11,0.24,0.48
2017-11-15,"Chicken Breast, Skin Removed Before Cooking","0.94 small - split",171.27,0.00,0.00,64.11,0.06,0.11,12.30,0.96,0.59,0.34,3.96,28.71,0.00,4.95,0.27,0.30,14.85,0.05,1.05,26.73,0.02,213.84,244.53,24.16,76.23,1.22,0.00,0.00,0.00,0.00,0.00,4.46,84.15,1.52,0.10,0.81,0.97,1.26,0.09,0.39,0.95,1.62,2.30,2.60,0.85,1.21,30.60,1.29,0.36,1.03,1.52
2017-11-15,"Sargento Foods Inc, Light String Cheese","1.00 PIECE",49.98,,,,,,,,,,,199.92,0.00,,,,149.94,,0.00,,,99.96,19.95,,160.02,,1.00,0.00,,0.00,1.00,2.50,10.08,,,,,1.50,0.00,,,,,,,,6.00,,,,
2017-11-16,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-16,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-16,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-11-16,"Spring Valley, Magnesium Citrate","1.00 capsule",,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-16,"Walnuts","0.71 cup, ground",370.81,0.00,0.00,2.31,0.19,0.09,0.64,0.32,0.30,0.00,55.57,11.34,0.74,0.00,0.40,1.53,55.57,0.90,1.65,89.58,1.94,196.18,250.04,2.78,1.13,1.75,7.77,3.80,0.03,1.48,3.97,36.97,0.00,5.06,5.15,21.60,26.75,3.47,0.00,0.12,0.22,0.35,0.66,0.24,0.13,0.40,8.64,0.34,0.10,0.23,0.43
2017-11-16,"Chicken Drumstick, Skin Eaten","3.20 medium",382.34,0.00,0.00,114.44,0.11,0.68,13.18,1.86,0.80,3.08,16.70,87.23,0.00,27.84,0.15,0.00,31.55,0.23,2.69,50.11,0.03,399.04,423.17,56.05,194.88,6.22,0.13,0.00,0.00,0.00,0.13,18.47,248.70,6.67,0.31,4.90,5.32,5.44,0.25,0.47,1.32,1.40,3.39,4.02,1.27,1.59,50.61,1.77,0.51,1.44,1.59
2017-11-16,"Kimchi","1.00 FDA Serving Size",16.65,0.00,0.00,79.70,0.03,0.05,0.73,0.08,0.14,0.03,35.62,2123.31,31.79,0.00,0.12,31.47,61.52,0.05,0.61,12.36,0.12,31.92,180.76,0.62,144.40,0.17,2.49,0.72,0.39,1.11,1.78,0.30,0.00,0.04,0.08,0.05,0.13,0.06,0.00,0.02,0.03,0.08,0.10,0.10,0.02,0.05,1.58,0.06,0.02,0.04,0.07
2017-11-16,"Chicken Breast, Skin Removed Before Cooking","1.06 large - split",247.39,0.00,0.00,92.61,0.09,0.17,17.76,1.39,0.86,0.49,5.72,41.47,0.00,7.15,0.39,0.43,21.45,0.07,1.52,38.61,0.02,308.88,353.21,34.89,110.11,1.76,0.00,0.00,0.00,0.00,0.00,6.45,121.55,2.20,0.14,1.17,1.40,1.82,0.13,0.57,1.37,2.33,3.32,3.76,1.22,1.75,44.20,1.87,0.52,1.49,2.19
2017-11-16,"Broccoli, Cooked from Frozen","4.00 FDA Serving Size",95.20,0.00,0.00,308.45,0.19,0.28,1.56,0.93,0.44,0.00,190.40,3437.40,136.34,0.00,3.84,299.54,112.20,0.12,2.07,44.20,0.76,166.60,482.80,2.38,37.40,0.95,18.19,10.20,2.31,5.00,7.99,0.41,0.00,0.03,0.14,0.04,0.19,0.06,0.00,0.07,0.19,0.41,0.49,0.53,0.13,0.32,10.54,0.34,0.11,0.24,0.48
2017-11-16,"Sargento Foods Inc, Light String Cheese","1.00 PIECE",49.98,,,,,,,,,,,199.92,0.00,,,,149.94,,0.00,,,99.96,19.95,,160.02,,1.00,0.00,,0.00,1.00,2.50,10.08,,,,,1.50,0.00,,,,,,,,6.00,,,,
2017-11-16,"Morton, Salt Mixture, Lite","2.00 x 0.25 Teaspoon",0.01,0.00,,,,,,,,0.00,,,,,,,1.12,,,1.68,,,708.40,,551.60,,0.03,,,,0.03,0.03,,,,,,,,,,,,,,,0.00,,,,
2017-11-17,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-17,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-17,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-11-17,"Spring Valley, Magnesium Citrate","1.00 capsule",,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-17,"Chicken Drumstick, Skin Eaten","3.30 medium",394.28,0.00,0.00,118.02,0.11,0.70,13.60,1.92,0.82,3.18,17.23,89.96,0.00,28.71,0.15,0.00,32.54,0.24,2.78,51.68,0.03,411.51,436.39,57.80,200.97,6.41,0.13,0.00,0.00,0.00,0.13,19.04,256.48,6.88,0.32,5.05,5.49,5.61,0.26,0.48,1.36,1.45,3.50,4.14,1.31,1.64,52.19,1.82,0.53,1.49,1.64
2017-11-17,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted","1.00 x 0.25 cup",180.04,,,,,,,,,,,0.00,0.00,,,,19.88,,1.44,,,,,,210.00,,4.00,3.00,,1.00,1.01,14.00,0.00,,,,,2.00,0.00,,,,,,,,8.00,,,,
2017-11-17,"Kimchi","1.00 FDA Serving Size",16.65,0.00,0.00,79.70,0.03,0.05,0.73,0.08,0.14,0.03,35.62,2123.31,31.79,0.00,0.12,31.47,61.52,0.05,0.61,12.36,0.12,31.92,180.76,0.62,144.40,0.17,2.49,0.72,0.39,1.11,1.78,0.30,0.00,0.04,0.08,0.05,0.13,0.06,0.00,0.02,0.03,0.08,0.10,0.10,0.02,0.05,1.58,0.06,0.02,0.04,0.07
2017-11-17,"Broccoli, Cooked from Frozen","3.00 FDA Serving Size",71.40,0.00,0.00,231.34,0.14,0.21,1.17,0.70,0.33,0.00,142.80,2578.05,102.26,0.00,2.88,224.65,84.15,0.09,1.56,33.15,0.57,124.95,362.10,1.79,28.05,0.71,13.64,7.65,1.73,3.75,5.99,0.31,0.00,0.02,0.11,0.03,0.14,0.05,0.00,0.06,0.14,0.31,0.37,0.40,0.09,0.24,7.90,0.26,0.08,0.18,0.36
2017-11-17,"Morton, Sea Salt","3.00 x 0.25 tsp",0.00,,,,,,,,,,,,,,,,,,,,,,,,1709.99,,0.00,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,,,,
2017-11-17,"Mushrooms, Raw","1.51 cup, whole pieces",31.90,0.00,0.00,134.05,0.12,0.58,5.23,2.17,0.15,0.06,24.65,0.00,3.05,10.15,0.01,0.00,4.35,0.46,0.73,13.05,0.07,124.70,461.10,13.49,7.25,0.75,4.73,1.45,0.86,2.87,3.28,0.49,0.00,0.00,0.00,0.23,0.23,0.07,0.00,0.02,0.08,0.11,0.17,0.16,0.04,0.12,4.48,0.16,0.05,0.06,0.34
2017-11-17,"Chicken Drumstick, Skin Eaten","3.20 medium",382.34,0.00,0.00,114.44,0.11,0.68,13.18,1.86,0.80,3.08,16.70,87.23,0.00,27.84,0.15,0.00,31.55,0.23,2.69,50.11,0.03,399.04,423.17,56.05,194.88,6.22,0.13,0.00,0.00,0.00,0.13,18.47,248.70,6.67,0.31,4.90,5.32,5.44,0.25,0.47,1.32,1.40,3.39,4.02,1.27,1.59,50.61,1.77,0.51,1.44,1.59
2017-11-17,"Cheddar Cheese, Natural","0.75 cup, grated",343.60,0.00,0.00,31.48,0.02,0.36,0.05,0.35,0.06,0.94,22.96,1056.30,0.00,20.41,0.60,2.04,603.84,0.03,0.12,22.96,0.02,386.97,64.64,24.24,555.37,3.10,2.63,0.00,0.00,0.41,2.63,28.33,84.20,7.03,0.12,1.04,1.21,16.05,0.78,0.10,0.47,1.03,1.65,0.87,0.47,0.91,19.45,0.89,0.47,0.94,1.19
2017-11-17,"Stuffed Olives","26.00 extra large",248.82,0.00,0.00,129.18,0.04,0.01,0.41,0.04,0.05,0.00,5.15,674.39,0.00,0.00,6.54,2.40,89.23,0.21,0.84,18.88,0.03,6.86,72.07,1.54,2670.10,0.07,6.59,5.66,0.00,0.05,0.93,26.29,0.00,19.41,0.16,2.08,2.24,3.48,0.00,0.00,0.05,0.07,0.10,0.07,0.03,0.06,1.77,0.05,0.00,0.05,0.08
2017-11-18,"Bulk Supplements, Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-18,"Centrum, Silver","1.00 Tablet",,,,,1.50,1.70,20.00,10.00,3.00,25.00,400.00,2500.00,60.00,1000.00,33.62,30.00,220.00,0.50,,50.00,2.30,20.00,80.00,19.00,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-18,"Nature Made, Fish Oil 1200 mg","1.00 x 2.0 Softgels",35.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,3.00,25.00,0.50,0.72,,1.00,1.00,,,,,,,,,0.50,,,,
2017-11-18,"Spring Valley, Magnesium Citrate","1.00 capsule",,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-18,"Chicken Drumstick, Skin Eaten","2.20 medium",262.86,0.00,0.00,78.68,0.07,0.47,9.06,1.28,0.55,2.12,11.48,59.97,0.00,19.14,0.10,0.00,21.69,0.16,1.85,34.45,0.02,274.34,290.93,38.54,133.98,4.27,0.09,0.00,0.00,0.00,0.09,12.70,170.98,4.59,0.22,3.37,3.66,3.74,0.17,0.32,0.91,0.96,2.33,2.76,0.88,1.10,34.80,1.21,0.35,0.99,1.10
2017-11-18,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted","2.00 x 0.25 cup",360.08,,,,,,,,,,,0.00,0.00,,,,39.76,,2.88,,,,,,420.00,,8.00,5.99,,2.00,2.01,28.00,0.00,,,,,4.00,0.00,,,,,,,,16.00,,,,
2017-11-18,"Mushrooms, Raw","1.00 cup, whole pieces",21.12,0.00,0.00,88.75,0.08,0.39,3.46,1.44,0.10,0.04,16.32,0.00,2.02,6.72,0.01,0.00,2.88,0.31,0.48,8.64,0.05,82.56,305.26,8.93,4.80,0.50,3.13,0.96,0.57,1.90,2.17,0.33,0.00,0.00,0.00,0.15,0.15,0.05,0.00,0.01,0.05,0.07,0.12,0.10,0.03,0.08,2.97,0.10,0.03,0.04,0.22
2017-11-18,"Chicken Drumstick, Skin Eaten","4.30 medium",513.76,0.00,0.00,153.78,0.14,0.91,17.71,2.50,1.07,4.14,22.45,117.22,0.00,37.41,0.20,0.00,42.40,0.31,3.62,67.34,0.04,536.21,568.63,75.32,261.87,8.35,0.17,0.00,0.00,0.00,0.17,24.82,334.20,8.96,0.42,6.58,7.15,7.31,0.34,0.63,1.77,1.88,4.56,5.40,1.71,2.14,68.01,2.37,0.69,1.94,2.14
2017-11-18,"Kraft, cheese, cheddar, jalapeno white, big slice","3.62 Slice",325.71,0.00,,,,,,,,,,1085.71,0.00,,,,542.86,,0.00,,,,,,488.57,,0.00,0.00,,0.00,0.00,25.33,72.38,,,,,16.29,,,,,,,,,18.10,,,,
2017-11-18,"Mac Farms, Macadamia Nuts, Dry Roasted With Sea Salt","1.00 oz",191.78,,,,0.38,,,,,,,0.00,0.00,,,,0.00,,1.50,,1.17,,,,66.70,,2.50,1.67,,1.67,0.83,21.68,,,,,,3.34,0.00,,,,,,,,2.50,,,,
