Day,Metric,Unit,Amount
2018-3-29,"Body Fat (Nokia)",%,16.916
2018-3-29,"Weight",lbs,166.1
2018-3-30,"Weight (Nokia)",lbs,166.636
2018-3-30,"Body Fat (Nokia)",%,18.774
2018-3-30,"Weight (Nokia)",lbs,166.345
2018-3-30,"Body Fat (Nokia)",%,18.21
2018-3-31,"Weight (Nokia)",lbs,167.752
2018-3-31,"Body Fat (Nokia)",%,19.201
2018-4-1,"Weight (Nokia)",lbs,171.057
2018-4-1,"Body Fat (Nokia)",%,19.526
2018-4-2,"Blood Glucose",mg/dL,114.0
2018-4-2,"Weight (Nokia)",lbs,172.375
2018-4-2,"Body Fat (Nokia)",%,19.402
2018-4-3,"Weight (Nokia)",lbs,172.882
2018-4-3,"Body Fat (Nokia)",%,18.567
2018-4-4,"Blood Glucose",mg/dL,88.0
2018-4-4,"Blood Glucose",mg/dL,110.0
2018-4-4,"Weight (Nokia)",lbs,171.579
2018-4-4,"Body Fat (Nokia)",%,17.95
2018-4-5,"Weight (Nokia)",lbs,170.391
2018-4-5,"Body Fat (Nokia)",%,18.67
2018-4-6,"Weight (Nokia)",lbs,169.035
2018-4-6,"Body Fat (Nokia)",%,19.355
2018-4-7,"Weight (Nokia)",lbs,167.99
2018-4-7,"Body Fat (Nokia)",%,19.397
2018-4-8,"Weight (Nokia)",lbs,167.582
2018-4-8,"Body Fat (Nokia)",%,19.681
2018-4-9,"Weight (Nokia)",lbs,171.03
2018-4-9,"Body Fat (Nokia)",%,20.083
2018-4-10,"Weight (Nokia)",lbs,171.257
2018-4-10,"Body Fat (Nokia)",%,19.451
2018-4-10,"Blood Glucose",mg/dL,113.0
2018-4-10,"Blood Glucose",mg/dL,118.0
2018-4-11,"Weight (Nokia)",lbs,168.504
2018-4-11,"Body Fat (Nokia)",%,19.246
2018-4-12,"Weight (Nokia)",lbs,168.319
2018-4-12,"Body Fat (Nokia)",%,19.071
2018-4-13,"Weight (Nokia)",lbs,169.615
2018-4-13,"Body Fat (Nokia)",%,18.223
2018-4-14,"Weight (Nokia)",lbs,168.991
2018-4-14,"Body Fat (Nokia)",%,15.785
2018-4-15,"Weight (Nokia)",lbs,168.786
2018-4-15,"Body Fat (Nokia)",%,19.083
2018-4-16,"Weight (Nokia)",lbs,169.121
2018-4-16,"Body Fat (Nokia)",%,19.137
2018-4-17,"Weight (Nokia)",lbs,168.18
2018-4-17,"Body Fat (Nokia)",%,18.011
2018-4-18,"Weight (Nokia)",lbs,166.996
2018-4-18,"Body Fat (Nokia)",%,18.469
2018-4-19,"Weight (Nokia)",lbs,165.265
2018-4-19,"Body Fat (Nokia)",%,19.049
