Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Daily Total Cals,Cals/100,Weight
12/10/2017,Kimchi,1.00 FDA Serving Size,16.65,0,0,79.7,0.03,0.05,0.73,0.08,0.14,0.03,35.62,2123.31,31.79,0,0.12,31.47,61.52,0.05,0.61,12.36,0.12,31.92,180.76,0.62,144.4,0.17,2.49,0.72,0.39,1.11,1.78,0.3,0,0.04,0.08,0.05,0.13,0.06,0,0.02,0.03,0.08,0.1,0.1,0.02,0.05,1.58,0.06,0.02,0.04,0.07,2397.88,239.788,180.001
12/10/2017,"Kale, Cooked from Frozen",4.00 FDA Serving Size,102,0,0,307.7,0.15,0.39,2.28,0.18,0.29,0,47.6,49993.6,85.68,0,3.13,2998.8,469.2,0.16,3.2,61.2,1.53,95.2,1091.4,3.06,51,0.61,17.78,6.8,0.99,4.56,10.98,1.67,0,0.12,0.43,0.33,0.8,0.21,0,0.13,0.2,0.58,0.68,0.58,0.09,0.5,9.66,0.43,0.12,0.34,0.53,2397.88,239.788,180.001
12/10/2017,"Chicken Wing, Skin Eaten",3.00 medium,274.32,0,0,64.15,0.07,0.17,6.83,0.93,0.6,0.38,9.72,42.12,0,7.56,0.75,0.32,19.44,0.04,0.91,20.52,0.01,158.76,228.96,27.54,105.84,1.77,0,0,0,0,0,18.22,152.28,8.32,0.2,3.58,3.88,5.37,0.09,0.27,0.96,1.26,2.13,2.47,0.67,1.04,25.69,1.15,0.32,0.93,1.33,2397.88,239.788,180.001
12/10/2017,Whiskey,4.00 jigger/shot - each 1.5 fl oz,385.31,55.71,0,111.09,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0.04,0.07,0,0.03,6.67,3.34,0,1.67,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397.88,239.788,180.001
12/10/2017,Extra Strength Pickle Juice Shot,1.00 container (75 mL),0,,,,,,,,,,,,7,0,1,,0,,0,,,,47,,470,2,0,0,,0,0,0,0,,,,,0,0,,,,,,,,0,,,,,2397.88,239.788,180.001
12/10/2017,"Pork Steak, Shoulder, Visible Fat Eaten",1.12 FDA Serving Size,255.55,0,0,54.6,0.61,0.34,3.86,0.63,0.22,0.84,4.75,6.65,0.67,51.3,0.18,0,26.6,0.11,1.38,17.1,0.01,187.15,315.4,32.59,63.65,3.76,0,0,0,0,0,17.92,81.7,7.86,0.03,1.53,1.67,6.62,0.18,0.27,0.85,1.01,1.74,1.96,0.57,0.87,21.95,0.99,0.27,0.75,1.18,2397.88,239.788,180.001
12/10/2017,"Pork Steak, Shoulder, Visible Fat Eaten",1.02 FDA Serving Size,234.03,0,0,50,0.56,0.31,3.53,0.58,0.2,0.77,4.35,6.09,0.61,46.98,0.17,0,24.36,0.1,1.26,15.66,0.01,171.39,288.84,29.84,58.29,3.45,0,0,0,0,0,16.41,74.82,7.19,0.03,1.4,1.53,6.06,0.17,0.25,0.78,0.92,1.6,1.8,0.52,0.8,20.11,0.9,0.25,0.68,1.08,2397.88,239.788,180.001
12/10/2017,Almond Flour,0.25 cup,160.5,0,0,1.22,0.05,0.25,0.97,0.11,0.03,0,12.82,1.3,0,0,6.75,0,68.82,0.28,0.95,73.77,0.55,131.96,204.01,0.99,2.99,0.83,5.48,3.04,0.24,1.24,2.44,14.09,0,8.94,0,3.39,3.39,1.07,0,0.07,0.16,0.2,0.4,0.16,0.05,0.31,5.84,0.18,0.06,0.14,0.23,2397.88,239.788,180.001
12/10/2017,"Kerrygold, Salted Butter",43.00 g,307.14,,,,,,,,,,,1535.71,,,,,,,,,,,,,307.14,,,,,,,33.79,92.14,,,,,24.57,,,,,,,,,,,,,,2397.88,239.788,180.001
12/10/2017,"Eggs, Cooked",1.00 large,77.5,0,0,37.31,0.03,0.26,0.03,0.7,0.06,0.56,22,260,0,43.5,0.52,0.15,25,0.01,0.6,5,0.01,86,63,15.4,62,0.53,0.56,0,0,0.56,0.56,5.31,186.5,2.04,0.03,0.67,0.71,1.63,0,0.15,0.15,0.34,0.54,0.45,0.2,0.33,6.29,0.3,0.08,0.26,0.38,2397.88,239.788,180.001
12/10/2017,Colby Jack Cheese,"0.42 cup, grated",184.08,0,0,19.01,0.01,0.18,0.04,0.1,0.04,0.4,8.64,423.12,0,11.04,0.13,1.25,343.44,0.02,0.36,12.72,0.01,216.24,49.92,6.96,288.96,1.46,0.78,0,0,0.24,0.78,14.97,44.16,4.33,0.13,0.32,0.44,9.43,0.37,0.06,0.41,0.72,1.11,0.96,0.3,0.61,11.58,0.41,0.15,0.56,0.77,2397.88,239.788,180.001
12/11/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,,1933.47,193.347,180.667
12/11/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,,1933.47,193.347,180.667
12/11/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.47,193.347,180.667
12/11/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.47,193.347,180.667
12/11/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.47,193.347,180.667
12/11/2017,"Ham, whole without bone, cured, visible fat eaten",0.75 cup,265.35,0,0,123.84,1.38,0.37,7.36,0.74,0.73,1.19,5.49,0,0,58.56,0.46,0,14.64,0.14,2.71,25.62,0.1,358.68,525.21,35.69,2201.49,5.27,2.75,0,0,2.75,2.75,10.12,96.99,4.79,0.11,0.88,0.99,3.31,0.03,0.58,1.37,1.68,3.04,3.25,1.01,1.65,38.3,1.7,0.46,1.26,1.66,1933.47,193.347,180.667
12/11/2017,"Planters, Peanuts, Salted",2.02 x 35.0 Each,344.24,0,,,,,8.1,,,,,0,0,,6.11,,40.5,0.61,2.92,81,1.01,202.5,404.99,,232.87,,10.12,4.05,,2.02,6.07,28.35,0,14.17,,,9.11,4.05,,,,,,,,,14.17,,,,,1933.47,193.347,180.667
12/11/2017,"Beef Steak, Sirloin, No Visible Fat Eaten","1.08 cup, cut pieces",231.33,0,0,93.34,0.11,0.42,11.46,0.64,1.13,2.92,7.23,20.24,0,1.45,0.4,2.75,23.13,0.09,4.16,21.69,0.01,390.37,555.2,39.33,96.87,6.56,0,0,0,0,0,6.49,111.33,2.77,0.03,0.38,0.44,2.42,0.31,0.46,1.67,2.08,3.85,4.28,1.21,1.79,43.23,2.1,0.5,1.66,2.23,1933.47,193.347,180.667
12/11/2017,"Broccoli, Cooked from Frozen",2.00 FDA Serving Size,47.6,0,0,154.22,0.09,0.14,0.78,0.47,0.22,0,95.2,1718.7,68.17,0,1.92,149.77,56.1,0.06,1.04,22.1,0.38,83.3,241.4,1.19,18.7,0.48,9.09,5.1,1.16,2.5,3.99,0.2,0,0.01,0.07,0.02,0.09,0.03,0,0.04,0.09,0.21,0.25,0.27,0.06,0.16,5.27,0.17,0.05,0.12,0.24,1933.47,193.347,180.667
12/11/2017,"Butter, Salted",0.25 stick,203.27,0,0,4.5,0,0.01,0.01,0.03,0,0.05,0.85,708.45,0,2.91,0.66,1.98,6.8,0,0.01,0.57,0,6.8,6.8,0.28,182.29,0.03,0.02,0,0,0.02,0.02,22.99,60.95,5.96,0.09,0.77,0.86,14.56,0.93,0,0.01,0.01,0.02,0.02,0.01,0.01,0.24,0.01,0,0.01,0.02,1933.47,193.347,180.667
12/11/2017,"Pork Steak, Shoulder, Visible Fat Eaten",0.89 steak,403.5,0,0,86.2,0.96,0.53,6.09,1,0.35,1.32,7.5,10.5,1.05,81,0.29,0,42,0.17,2.18,27,0.02,295.5,498,51.45,100.5,5.94,0,0,0,0,0,28.29,129,12.4,0.05,2.42,2.64,10.45,0.29,0.43,1.34,1.59,2.75,3.1,0.9,1.38,34.67,1.56,0.42,1.18,1.86,1933.47,193.347,180.667
12/11/2017,"Broccoli, Cooked from Frozen",3.00 FDA Serving Size,71.4,0,0,231.34,0.14,0.21,1.17,0.7,0.33,0,142.8,2578.05,102.26,0,2.88,224.65,84.15,0.09,1.56,33.15,0.57,124.95,362.1,1.79,28.05,0.71,13.64,7.65,1.73,3.75,5.99,0.31,0,0.02,0.11,0.03,0.14,0.05,0,0.06,0.14,0.31,0.37,0.4,0.09,0.24,7.9,0.26,0.08,0.18,0.36,1933.47,193.347,180.667
12/11/2017,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",1.00 x 0.25 cup,180.04,,,,,,,,,,,0,0,,,,19.88,,1.44,,,,,,210,,4,3,,1,1.01,14,0,,,,,2,0,,,,,,,,8,,,,,1933.47,193.347,180.667
12/11/2017,"Coffee, Prepared From Grounds",3.00 large or venti - each 20 fl oz,17.76,0,710.4,1765.17,0.25,1.35,3.39,4.51,0.02,0,35.52,0,0,0,0.18,1.78,35.52,0.04,0.18,53.28,0.41,53.28,870.24,0,35.52,0.36,8.35,8.35,0,0,0,0.36,0,0.27,0,0.02,0.02,0.04,0,0.04,0.04,0.04,0.09,0.02,0,0.05,2.13,0.02,0,0.04,0.05,1933.47,193.347,180.667
12/11/2017,Stuffed Olives,14.00 extra large,133.98,0,0,69.56,0.02,0.01,0.22,0.02,0.03,0,2.77,363.13,0,0,3.52,1.29,48.05,0.11,0.45,10.16,0.02,3.7,38.81,0.83,1437.74,0.04,3.55,3.05,0,0.03,0.5,14.16,0,10.45,0.09,1.12,1.21,1.87,0,0,0.03,0.04,0.06,0.04,0.01,0.03,0.95,0.03,0,0.03,0.04,1933.47,193.347,180.667
12/12/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,,2134.08,213.408,183.303
12/12/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,,2134.08,213.408,183.303
12/12/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134.08,213.408,183.303
12/12/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134.08,213.408,183.303
12/12/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134.08,213.408,183.303
12/12/2017,"Coffee, Decaf, Prepared from Grounds",1.00 large or venti - each 20 fl oz,0,0,5.92,587.86,0,0,1.31,0.01,0,0,0,0,0,0,0,0.59,11.84,0.04,0.3,29.6,0.16,5.92,319.68,0.59,11.84,0.12,2.78,2.78,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.03,0.01,0,0.02,0.59,0.01,0,0.01,0.02,2134.08,213.408,183.303
12/12/2017,"Coffee, Prepared From Grounds",3.00 fl oz,0.89,0,35.52,88.26,0.01,0.07,0.17,0.23,0,0,1.78,0,0,0,0.01,0.09,1.78,0,0.01,2.66,0.02,2.66,43.51,0,1.78,0.02,0.42,0.42,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,2134.08,213.408,183.303
12/12/2017,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",2.00 x 0.25 cup,360.08,,,,,,,,,,,0,0,,,,39.76,,2.88,,,,,,420,,8,5.99,,2,2.01,28,0,,,,,4,0,,,,,,,,16,,,,,2134.08,213.408,183.303
12/12/2017,"Morton, Salt Mixture, Lite",2.00 x 0.25 Teaspoon,0.01,0,,,,,,,,0,,,,,,,1.12,,,1.68,,,708.4,,551.6,,0.03,,,,0.03,0.03,,,,,,,,,,,,,,,0,,,,,2134.08,213.408,183.303
12/12/2017,"Ham, whole without bone, cured, visible fat eaten",1.09 cup,387.15,0,0,180.68,2.01,0.54,10.74,1.08,1.07,1.74,8.01,0,0,85.44,0.67,0,21.36,0.21,3.95,37.38,0.14,523.32,766.29,52.07,3212.01,7.69,4.01,0,0,4.01,4.01,14.77,141.51,7,0.16,1.28,1.44,4.83,0.04,0.84,2,2.45,4.43,4.74,1.48,2.41,55.88,2.49,0.67,1.83,2.42,2134.08,213.408,183.303
12/12/2017,"Pork Steak, Shoulder, Visible Fat Eaten",1.22 cup,807,0,0,172.41,1.91,1.07,12.18,2,0.69,2.64,15,21,2.1,162,0.57,0,84,0.34,4.35,54,0.04,591,996,102.9,201,11.88,0,0,0,0,0,56.58,258,24.81,0.09,4.83,5.28,20.91,0.58,0.87,2.68,3.18,5.51,6.19,1.79,2.75,69.33,3.12,0.85,2.36,3.73,2134.08,213.408,183.303
12/12/2017,"Broccoli, Cooked from Frozen",3.00 FDA Serving Size,71.4,0,0,231.34,0.14,0.21,1.17,0.7,0.33,0,142.8,2578.05,102.26,0,2.88,224.65,84.15,0.09,1.56,33.15,0.57,124.95,362.1,1.79,28.05,0.71,13.64,7.65,1.73,3.75,5.99,0.31,0,0.02,0.11,0.03,0.14,0.05,0,0.06,0.14,0.31,0.37,0.4,0.09,0.24,7.9,0.26,0.08,0.18,0.36,2134.08,213.408,183.303
12/12/2017,Colby Jack Cheese,1.52 stick - each 1 oz,164.91,0,0,17.03,0.01,0.16,0.04,0.09,0.03,0.36,7.74,379.05,0,9.89,0.12,1.12,307.67,0.02,0.32,11.4,0.01,193.72,44.72,6.24,258.86,1.31,0.7,0,0,0.22,0.7,13.41,39.56,3.88,0.12,0.28,0.4,8.45,0.33,0.05,0.36,0.64,0.99,0.86,0.27,0.55,10.37,0.37,0.13,0.5,0.69,2134.08,213.408,183.303
12/12/2017,"Macadamia Nuts, Roasted, Salted",0.93 FDA Serving Size,200.48,0,0,0.45,0.2,0.02,0.64,0.17,0.1,0,2.8,0,0.2,0,0.16,0,19.6,0.16,0.74,33.04,0.85,55.44,101.64,3.28,98.84,0.36,3.59,2.24,0.29,1.16,1.35,21.3,0,16.6,0.05,0.36,0.42,3.35,0,0,0.05,0.09,0.17,0.01,0.01,0.18,2.18,0.1,0.02,0.14,0.1,2134.08,213.408,183.303
12/12/2017,"Salami, Hard, Beef and Pork","0.52 Serving (11 small slice - 1 3/4"" diameter x 1/8"" - each 0.2 oz)",107.16,0,0,11.68,0.11,0.06,1.73,0.29,0.13,0.33,0,10.21,0,10.21,0.18,0,6.8,0.03,0.39,5.67,0.27,54.43,102.91,9.53,497.82,0.76,0.2,0,0,0.07,0.2,8.97,30.62,4.17,0.06,1.25,1.39,3.24,0.14,0.07,0.24,0.28,0.49,0.53,0.16,0.25,5.97,0.26,0.07,0.24,0.3,2134.08,213.408,183.303
12/13/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,,2048.96,204.896,182.496
12/13/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,,2048.96,204.896,182.496
12/13/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048.96,204.896,182.496
12/13/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048.96,204.896,182.496
12/13/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048.96,204.896,182.496
12/13/2017,"Macadamia Nuts, Roasted, Salted",1.07 FDA Serving Size,229.12,0,0,0.52,0.23,0.03,0.73,0.19,0.11,0,3.2,0,0.22,0,0.18,0,22.4,0.18,0.85,37.76,0.97,63.36,116.16,3.74,112.96,0.41,4.11,2.56,0.34,1.32,1.55,24.35,0,18.97,0.06,0.42,0.48,3.82,0,0,0.06,0.1,0.19,0.01,0.01,0.21,2.49,0.12,0.02,0.16,0.11,2048.96,204.896,182.496
12/13/2017,"Ham, whole without bone, cured, visible fat eaten",1.39 cup,493,0,0,230.08,2.56,0.69,13.68,1.37,1.36,2.21,10.2,0,0,108.8,0.85,0,27.2,0.27,5.03,47.6,0.18,666.4,975.8,66.3,4090.2,9.79,5.1,0,0,5.1,5.1,18.8,180.2,8.91,0.2,1.63,1.84,6.15,0.05,1.07,2.55,3.12,5.65,6.04,1.88,3.07,71.16,3.17,0.85,2.34,3.09,2048.96,204.896,182.496
12/13/2017,"Macadamia Nuts, Roasted, Salted",1.00 FDA Serving Size,214.8,0,0,0.48,0.21,0.03,0.68,0.18,0.11,0,3,0,0.21,0,0.17,0,21,0.17,0.79,35.4,0.91,59.4,108.9,3.51,105.9,0.39,3.85,2.4,0.32,1.24,1.45,22.82,0,17.78,0.06,0.39,0.45,3.58,0,0,0.06,0.09,0.18,0.01,0.01,0.2,2.34,0.11,0.02,0.15,0.11,2048.96,204.896,182.496
12/13/2017,"Broccoli, Cooked from Frozen",3.00 FDA Serving Size,71.4,0,0,231.34,0.14,0.21,1.17,0.7,0.33,0,142.8,2578.05,102.26,0,2.88,224.65,84.15,0.09,1.56,33.15,0.57,124.95,362.1,1.79,28.05,0.71,13.64,7.65,1.73,3.75,5.99,0.31,0,0.02,0.11,0.03,0.14,0.05,0,0.06,0.14,0.31,0.37,0.4,0.09,0.24,7.9,0.26,0.08,0.18,0.36,2048.96,204.896,182.496
12/13/2017,"Pork Steak, Shoulder, Visible Fat Eaten",1.06 cup,699.4,0,0,149.42,1.66,0.92,10.56,1.73,0.6,2.29,13,18.2,1.82,140.4,0.49,0,72.8,0.3,3.77,46.8,0.03,512.2,863.2,89.18,174.2,10.3,0,0,0,0,0,49.04,223.6,21.5,0.08,4.19,4.58,18.12,0.5,0.75,2.32,2.75,4.77,5.37,1.55,2.38,60.09,2.7,0.74,2.04,3.23,2048.96,204.896,182.496
12/13/2017,"Coffee, Prepared From Grounds",2.00 large or venti - each 20 fl oz,11.84,0,473.6,1176.78,0.17,0.9,2.26,3.01,0.01,0,23.68,0,0,0,0.12,1.18,23.68,0.02,0.12,35.52,0.27,35.52,580.16,0,23.68,0.24,5.56,5.56,0,0,0,0.24,0,0.18,0,0.01,0.01,0.02,0,0.02,0.02,0.02,0.06,0.01,0,0.04,1.42,0.01,0,0.02,0.04,2048.96,204.896,182.496
12/13/2017,Kimchi,1.09 FDA Serving Size,18.22,0,0,87.2,0.03,0.06,0.8,0.09,0.16,0.03,38.97,2323.15,34.78,0,0.13,34.43,67.31,0.05,0.67,13.53,0.13,34.93,197.78,0.68,157.99,0.18,2.73,0.78,0.42,1.21,1.94,0.33,0,0.04,0.09,0.05,0.15,0.06,0,0.02,0.04,0.08,0.11,0.11,0.03,0.06,1.73,0.06,0.02,0.04,0.08,2048.96,204.896,182.496
12/13/2017,Stuffed Olives,12.00 extra large,114.84,0,0,59.62,0.02,0.01,0.19,0.02,0.02,0,2.38,311.26,0,0,3.02,1.11,41.18,0.1,0.39,8.71,0.02,3.17,33.26,0.71,1232.35,0.03,3.04,2.61,0,0.02,0.43,12.13,0,8.96,0.07,0.96,1.04,1.61,0,0,0.02,0.03,0.05,0.03,0.01,0.03,0.82,0.03,0,0.02,0.04,2048.96,204.896,182.496
12/13/2017,Colby Jack Cheese,1.02 stick - each 1 oz,111.22,0,0,11.49,0,0.11,0.03,0.06,0.02,0.24,5.22,255.64,0,6.67,0.08,0.75,207.5,0.01,0.21,7.69,0,130.65,30.16,4.21,174.58,0.88,0.47,0,0,0.15,0.47,9.05,26.68,2.61,0.08,0.19,0.27,5.7,0.22,0.04,0.25,0.43,0.67,0.58,0.18,0.37,6.99,0.25,0.09,0.34,0.47,2048.96,204.896,182.496
12/13/2017,"Macadamia Nuts, Roasted, Salted","1.02 tbsp, chopped",50.12,0,0,0.11,0.05,0.01,0.16,0.04,0.03,0,0.7,0,0.05,0,0.04,0,4.9,0.04,0.19,8.26,0.21,13.86,25.41,0.82,24.71,0.09,0.9,0.56,0.07,0.29,0.34,5.33,0,4.15,0.01,0.09,0.1,0.84,0,0,0.01,0.02,0.04,0,0,0.05,0.55,0.03,0,0.04,0.02,2048.96,204.896,182.496
12/14/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,,2405.94,240.594,183.731
12/14/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,,2405.94,240.594,183.731
12/14/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405.94,240.594,183.731
12/14/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405.94,240.594,183.731
12/14/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405.94,240.594,183.731
12/14/2017,"Coffee, Decaf, Prepared from Grounds",3.00 large or venti - each 20 fl oz,0,0,17.76,1763.57,0,0,3.94,0.02,0,0,0,0,0,0,0,1.78,35.52,0.12,0.89,88.8,0.48,17.76,959.04,1.78,35.52,0.36,8.35,8.35,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0.04,0.04,0.04,0.09,0.02,0,0.05,1.78,0.02,0,0.04,0.05,2405.94,240.594,183.731
12/14/2017,"Coffee, Prepared From Grounds",1.00 large or venti - each 20 fl oz,5.92,0,236.8,588.39,0.08,0.45,1.13,1.5,0.01,0,11.84,0,0,0,0.06,0.59,11.84,0.01,0.06,17.76,0.14,17.76,290.08,0,11.84,0.12,2.78,2.78,0,0,0,0.12,0,0.09,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.03,0.01,0,0.02,0.71,0.01,0,0.01,0.02,2405.94,240.594,183.731
12/14/2017,"Morton, Salt Mixture, Lite",1.00 x 0.25 Teaspoon,0,0,,,,,,,,0,,,,,,,0.56,,,0.84,,,354.2,,275.8,,0.01,,,,0.01,0.01,,,,,,,,,,,,,,,0,,,,,2405.94,240.594,183.731
12/14/2017,"Macadamia Nuts, Roasted, Salted","0.68 cup, chopped",537,0,0,1.21,0.53,0.07,1.71,0.45,0.27,0,7.5,0,0.53,0,0.43,0,52.5,0.43,1.99,88.5,2.28,148.5,272.25,8.78,264.75,0.97,9.62,6,0.79,3.11,3.62,57.06,0,44.46,0.15,0.98,1.12,8.96,0,0,0.14,0.23,0.44,0.01,0.02,0.49,5.84,0.27,0.05,0.38,0.27,2405.94,240.594,183.731
12/14/2017,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",1.00 x 0.25 cup,180.04,,,,,,,,,,,0,0,,,,19.88,,1.44,,,,,,210,,4,3,,1,1.01,14,0,,,,,2,0,,,,,,,,8,,,,,2405.94,240.594,183.731
12/14/2017,"Chicken Breast, Skin Removed Before Cooking",1.39 cup,588.54,0,0,220.31,0.22,0.39,42.26,3.31,2.04,1.16,13.61,98.66,0,17.01,0.92,1.02,51.03,0.17,3.61,91.85,0.06,734.82,840.28,83.01,261.95,4.18,0,0,0,0,0,15.34,289.17,5.24,0.34,2.79,3.33,4.32,0.31,1.35,3.26,5.55,7.89,8.93,2.91,4.17,105.15,4.44,1.23,3.55,5.22,2405.94,240.594,183.731
12/14/2017,"Beer, Low Carb",2.00 can - each 12 fl oz,191.16,23.36,0,675.43,0,0,0,0.21,0,0,0,0,0,0,0,0,28.32,0.01,0,28.32,0.04,56.64,120.36,0,21.24,0.07,5.17,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,2405.94,240.594,183.731
12/14/2017,Whiskey,5.00 jigger/shot - each 1.5 fl oz,481.64,69.64,0,138.86,0.01,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0.04,0.08,0,0.04,8.34,4.17,0,2.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2405.94,240.594,183.731
12/14/2017,"Macadamia Nuts, Roasted, Salted","0.49 cup, chopped",386.64,0,0,0.87,0.38,0.05,1.23,0.33,0.19,0,5.4,0,0.38,0,0.31,0,37.8,0.31,1.43,63.72,1.64,106.92,196.02,6.32,190.62,0.7,6.93,4.32,0.57,2.24,2.61,41.08,0,32.01,0.11,0.7,0.81,6.45,0,0,0.1,0.17,0.32,0.01,0.01,0.35,4.21,0.2,0.04,0.27,0.19,2405.94,240.594,183.731
12/15/2017,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,,2060.6,206.06,179.278
12/15/2017,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,,2060.6,206.06,179.278
12/15/2017,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.6,206.06,179.278
12/15/2017,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.6,206.06,179.278
12/15/2017,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.6,206.06,179.278
