Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
1/3/2018,Kimchi,1.26 FDA Serving Size,20.96,0,0,100.33,0.04,0.07,0.92,0.11,0.18,0.03,44.84,2672.87,40.01,0,0.16,39.62,77.44,0.06,0.77,15.56,0.16,40.19,227.55,0.78,181.77,0.21,3.14,0.9,0.49,1.39,2.24,0.38,0,0.05,0.11,0.06,0.17,0.07,0,0.02,0.04,0.1,0.13,0.13,0.03,0.07,1.98,0.07,0.02,0.05,0.09
1/3/2018,"Broccoli, Cooked from Frozen",3.00 FDA Serving Size,71.4,0,0,231.34,0.14,0.21,1.17,0.7,0.33,0,142.8,2578.05,102.26,0,2.88,224.65,84.15,0.09,1.56,33.15,0.57,124.95,362.1,1.79,28.05,0.71,13.64,7.65,1.73,3.75,5.99,0.31,0,0.02,0.11,0.03,0.14,0.05,0,0.06,0.14,0.31,0.37,0.4,0.09,0.24,7.9,0.26,0.08,0.18,0.36
1/3/2018,"Sargento Foods Inc., Sargento, Colby-jack, Natural Colby And Monterey Jack Cheese Sticks",70.00 g,266.7,,,,,,,,,,,666.4,0,,,,499.8,,0,,,,,,466.9,,3.33,0,,0,3.33,23.33,66.5,,,,,15,0,,,,,,,,16.67,,,,
1/3/2018,"Moser Roth, Finest Dark, 85% Cocoa",2.00 Bar,298.56,,,,,,,,,,,,,,,,,,,,,,,,50,,10.2,,,7,10.2,25,,,,,,15.4,,,,,,,,,5.6,,,,
1/4/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
1/4/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2018,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",2.00 x 0.25 cup,360.08,,,,,,,,,,,0,0,,,,39.76,,2.88,,,,,,420,,8,5.99,,2,2.01,28,0,,,,,4,0,,,,,,,,16,,,,
1/4/2018,"Almonds, Dry Roasted, Salted",0.94 FDA Serving Size,169.53,0,0,0.68,0.02,0.34,1.03,0.09,0.04,0,15.59,0.28,0,0,6.78,0,75.98,0.31,1.06,79.1,0.63,133.53,202.13,0.57,141.18,0.94,5.96,3.09,0.21,1.38,2.87,14.89,0,9.38,0,3.67,3.67,1.16,0,0.06,0.15,0.21,0.41,0.16,0.04,0.32,5.94,0.17,0.06,0.13,0.24
1/4/2018,"Chicken Drumstick, Skin Eaten",4.00 medium,477.92,0,0,143.05,0.13,0.85,16.48,2.33,1,3.85,20.88,109.04,0,34.8,0.19,0,39.44,0.29,3.36,62.64,0.04,498.8,528.96,70.06,243.6,7.77,0.16,0,0,0,0.16,23.08,310.88,8.34,0.39,6.12,6.65,6.8,0.32,0.58,1.65,1.75,4.24,5.02,1.59,1.99,63.27,2.21,0.64,1.8,1.99
1/4/2018,"Chicken Drumstick, Skin Eaten",4.00 medium,477.92,0,0,143.05,0.13,0.85,16.48,2.33,1,3.85,20.88,109.04,0,34.8,0.19,0,39.44,0.29,3.36,62.64,0.04,498.8,528.96,70.06,243.6,7.77,0.16,0,0,0,0.16,23.08,310.88,8.34,0.39,6.12,6.65,6.8,0.32,0.58,1.65,1.75,4.24,5.02,1.59,1.99,63.27,2.21,0.64,1.8,1.99
1/4/2018,"Broccoli, Cooked from Frozen",3.00 FDA Serving Size,71.4,0,0,231.34,0.14,0.21,1.17,0.7,0.33,0,142.8,2578.05,102.26,0,2.88,224.65,84.15,0.09,1.56,33.15,0.57,124.95,362.1,1.79,28.05,0.71,13.64,7.65,1.73,3.75,5.99,0.31,0,0.02,0.11,0.03,0.14,0.05,0,0.06,0.14,0.31,0.37,0.4,0.09,0.24,7.9,0.26,0.08,0.18,0.36
1/4/2018,"Sargento Foods Inc., Sargento, Colby-jack, Natural Colby And Monterey Jack Cheese Sticks",71.00 g,270.51,,,,,,,,,,,675.92,0,,,,506.94,,0,,,,,,473.57,,3.38,0,,0,3.38,23.66,67.45,,,,,15.22,0,,,,,,,,16.91,,,,
1/4/2018,"Moser Roth, Finest Dark, 85% Cocoa",1.00 Bar,149.28,,,,,,,,,,,,,,,,,,,,,,,,25,,5.1,,,3.5,5.1,12.5,,,,,,7.7,,,,,,,,,2.8,,,,
1/5/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
1/5/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2018,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",3.00 x 0.25 cup,540.12,,,,,,,,,,,0,0,,,,59.64,,4.32,,,,,,630,,12,8.99,,3,3.02,42,0,,,,,6,0,,,,,,,,24,,,,
1/5/2018,"Chicken Drumstick, Skin Eaten",4.00 medium,477.92,0,0,143.05,0.13,0.85,16.48,2.33,1,3.85,20.88,109.04,0,34.8,0.19,0,39.44,0.29,3.36,62.64,0.04,498.8,528.96,70.06,243.6,7.77,0.16,0,0,0,0.16,23.08,310.88,8.34,0.39,6.12,6.65,6.8,0.32,0.58,1.65,1.75,4.24,5.02,1.59,1.99,63.27,2.21,0.64,1.8,1.99
1/5/2018,"Chicken Wing, Skin Eaten",6.00 medium,548.64,0,0,128.3,0.14,0.33,13.65,1.86,1.21,0.76,19.44,84.24,0,15.12,1.49,0.65,38.88,0.09,1.81,41.04,0.02,317.52,457.92,55.08,211.68,3.54,0,0,0,0,0,36.44,304.56,16.64,0.41,7.16,7.75,10.75,0.18,0.54,1.92,2.52,4.25,4.94,1.34,2.07,51.39,2.3,0.65,1.85,2.66
1/5/2018,"Mozzarella cheese, part skim milk, reduced sodium","0.50 cup, grated",167.26,0,0,26.69,0.01,0.2,0.06,0.24,0.06,0.95,15.31,470.04,0,8.5,0.28,0.74,395.19,0.02,0.12,15.31,0.02,310.71,106.59,15.65,280.66,2.05,3.16,0,0,1.08,3.16,11.22,36.29,2.9,0.05,0.43,0.48,6.4,0.41,0.07,0.31,0.69,1.11,0.59,0.31,0.61,13.47,0.6,0.31,0.63,0.8
1/5/2018,"Hamburger or Ground Beef, 80% Lean",0.91 very small patty - each 1/10 lb raw,72.01,0,0,16.36,0.01,0.05,1.31,0.16,0.09,0.71,1.98,2.55,0,0.57,0.03,0.43,6.52,0.02,0.73,5.39,0,50.75,76.83,5.75,18.99,1.77,0,0,0,0,0,4.58,24.95,2.04,0,0.12,0.13,1.75,0.22,0.07,0.23,0.32,0.56,0.59,0.18,0.28,7.16,0.28,0.04,0.22,0.35
1/5/2018,Kimchi,"0.75 cup, cut pieces",21.94,0,0,105.01,0.04,0.07,0.96,0.11,0.19,0.03,46.93,2797.77,41.88,0,0.16,41.47,81.06,0.06,0.8,16.29,0.16,42.06,238.18,0.82,190.26,0.22,3.28,0.94,0.51,1.46,2.34,0.4,0,0.05,0.11,0.07,0.18,0.07,0,0.03,0.04,0.1,0.14,0.14,0.03,0.07,2.08,0.08,0.02,0.05,0.1
1/5/2018,Pepper Jack Cheese,"0.42 cup, grated",181.57,0,0,20.06,0.01,0.17,0.04,0.12,0.04,0.36,7.83,677.34,0.03,13.34,0.17,1.28,254.19,0.02,0.32,11.6,0.01,193.63,49.4,6.3,288,1.3,0.84,0,0,0.38,0.84,15.25,45.37,4.33,0.12,0.36,0.48,9.62,0.4,0.05,0.36,0.64,0.99,0.85,0.27,0.54,10.35,0.37,0.13,0.5,0.69
1/5/2018,Pepper Jack Cheese,1.55 stick - each 1 oz,166.44,0,0,18.39,0.01,0.16,0.04,0.11,0.03,0.33,7.18,620.89,0.03,12.23,0.15,1.18,233.01,0.01,0.29,10.63,0,177.5,45.28,5.77,264,1.19,0.77,0,0,0.35,0.77,13.98,41.59,3.97,0.11,0.33,0.44,8.82,0.36,0.05,0.33,0.59,0.91,0.78,0.25,0.5,9.49,0.34,0.12,0.46,0.63
1/5/2018,"Broccoli, Cooked from Frozen",3.00 FDA Serving Size,71.4,0,0,231.34,0.14,0.21,1.17,0.7,0.33,0,142.8,2578.05,102.26,0,2.88,224.65,84.15,0.09,1.56,33.15,0.57,124.95,362.1,1.79,28.05,0.71,13.64,7.65,1.73,3.75,5.99,0.31,0,0.02,0.11,0.03,0.14,0.05,0,0.06,0.14,0.31,0.37,0.4,0.09,0.24,7.9,0.26,0.08,0.18,0.36
1/6/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
1/6/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2018,"Chicken Drumstick, Skin Eaten",4.00 medium,477.92,0,0,143.05,0.13,0.85,16.48,2.33,1,3.85,20.88,109.04,0,34.8,0.19,0,39.44,0.29,3.36,62.64,0.04,498.8,528.96,70.06,243.6,7.77,0.16,0,0,0,0.16,23.08,310.88,8.34,0.39,6.12,6.65,6.8,0.32,0.58,1.65,1.75,4.24,5.02,1.59,1.99,63.27,2.21,0.64,1.8,1.99
1/6/2018,"Salami, Hard, Beef and Pork","0.61 cup, cut pieces",321.48,0,0,35.03,0.33,0.17,5.19,0.86,0.38,0.98,0,30.62,0,30.62,0.54,0,20.41,0.08,1.16,17.01,0.81,163.29,308.73,28.58,1493.45,2.27,0.61,0,0,0.22,0.61,26.92,91.85,12.52,0.18,3.74,4.16,9.71,0.41,0.2,0.73,0.85,1.47,1.59,0.49,0.74,17.92,0.79,0.21,0.71,0.91
1/6/2018,"Turkey drumstick, skin eaten",1.00 small - from 11 to 13 lb turkey,255.44,0,0,76.46,0.07,0.45,8.81,1.24,0.53,2.06,11.16,58.28,0,18.6,0.1,0,21.08,0.16,1.8,33.48,0.02,266.6,282.72,37.45,130.2,4.15,0.09,0,0,0,0.09,12.34,166.16,4.46,0.21,3.27,3.56,3.63,0.17,0.31,0.88,0.94,2.27,2.68,0.85,1.07,33.81,1.18,0.34,0.96,1.07
1/6/2018,"Turkey Breast, Skin Eaten",1.06 FDA Serving Size,165.6,0,0,59.59,0.04,0.1,7.03,0.49,0.26,0.19,2.7,73.8,0,4.5,0.24,0.18,11.7,0.04,0.83,19.8,0.02,140.4,160.2,19.62,55.8,0.87,0,0,0,0,0,6.68,67.5,2.61,0.09,1.27,1.42,1.87,0.14,0.32,0.74,1.26,1.82,2.04,0.67,0.97,24.65,1.03,0.28,0.81,1.21
1/6/2018,"Turkey wing, skin eaten",1.00 medium - from 12 1/2 lb turkey,398.46,0,0,103.51,0.09,0.23,9.97,1.02,0.73,0.59,10.44,198.36,0,6.96,0.3,0,41.76,0.1,2.54,43.5,0.03,342.78,462.84,52.03,106.14,3.65,0,0,0,0,0,21.63,140.94,8.11,0.36,4.61,5.12,5.9,0.44,0.55,1.39,2.31,3.62,4.2,1.3,1.84,47.64,2.04,0.51,1.74,2.44
1/6/2018,Stuffed Olives,12.00 extra large,114.84,0,0,59.62,0.02,0.01,0.19,0.02,0.02,0,2.38,311.26,0,0,3.02,1.11,41.18,0.1,0.39,8.71,0.02,3.17,33.26,0.71,1232.35,0.03,3.04,2.61,0,0.02,0.43,12.13,0,8.96,0.07,0.96,1.04,1.61,0,0,0.02,0.03,0.05,0.03,0.01,0.03,0.82,0.03,0,0.02,0.04
1/6/2018,"Broccoli, Cooked from Frozen",3.00 FDA Serving Size,71.4,0,0,231.34,0.14,0.21,1.17,0.7,0.33,0,142.8,2578.05,102.26,0,2.88,224.65,84.15,0.09,1.56,33.15,0.57,124.95,362.1,1.79,28.05,0.71,13.64,7.65,1.73,3.75,5.99,0.31,0,0.02,0.11,0.03,0.14,0.05,0,0.06,0.14,0.31,0.37,0.4,0.09,0.24,7.9,0.26,0.08,0.18,0.36
1/6/2018,Kimchi,"0.73 cup, cut pieces",21.55,0,0,103.14,0.04,0.07,0.94,0.11,0.18,0.03,46.09,2747.81,41.14,0,0.16,40.73,79.61,0.06,0.79,16,0.16,41.31,233.93,0.8,186.86,0.22,3.23,0.93,0.5,1.43,2.3,0.39,0,0.05,0.11,0.06,0.17,0.07,0,0.03,0.04,0.1,0.14,0.13,0.03,0.07,2.04,0.08,0.02,0.05,0.1
1/6/2018,"Moser Roth, Finest Dark, 85% Cocoa",1.00 Bar,149.28,,,,,,,,,,,,,,,,,,,,,,,,25,,5.1,,,3.5,5.1,12.5,,,,,,7.7,,,,,,,,,2.8,,,,
1/7/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
1/7/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2018,"Turkey thigh, skin eaten",1.00 small - from 11 to 13 lb turkey,459.38,0,0,137.5,0.13,0.81,15.84,2.24,0.96,3.7,20.07,104.81,0,33.45,0.18,0,37.91,0.28,3.23,60.21,0.04,479.45,508.44,67.35,234.15,7.47,0.16,0,0,0,0.16,22.19,298.82,8.01,0.38,5.89,6.39,6.53,0.31,0.56,1.58,1.68,4.07,4.83,1.53,1.92,60.81,2.12,0.61,1.73,1.92
1/7/2018,"Turkey wing, skin eaten",1.00 medium - from 12 1/2 lb turkey,398.46,0,0,103.51,0.09,0.23,9.97,1.02,0.73,0.59,10.44,198.36,0,6.96,0.3,0,41.76,0.1,2.54,43.5,0.03,342.78,462.84,52.03,106.14,3.65,0,0,0,0,0,21.63,140.94,8.11,0.36,4.61,5.12,5.9,0.44,0.55,1.39,2.31,3.62,4.2,1.3,1.84,47.64,2.04,0.51,1.74,2.44
1/7/2018,"Turkey Breast, Skin Eaten",0.81 cup,368,0,0,132.42,0.08,0.23,15.61,1.09,0.58,0.42,6,164,0,10,0.54,0.4,26,0.09,1.84,44,0.04,312,356,43.6,124,1.94,0,0,0,0,0,14.84,150,5.8,0.2,2.82,3.16,4.16,0.3,0.72,1.65,2.8,4.04,4.54,1.48,2.15,54.78,2.29,0.62,1.8,2.68
1/7/2018,"Salami, Hard, Beef and Pork","0.61 cup, cut pieces",321.48,0,0,35.03,0.33,0.17,5.19,0.86,0.38,0.98,0,30.62,0,30.62,0.54,0,20.41,0.08,1.16,17.01,0.81,163.29,308.73,28.58,1493.45,2.27,0.61,0,0,0.22,0.61,26.92,91.85,12.52,0.18,3.74,4.16,9.71,0.41,0.2,0.73,0.85,1.47,1.59,0.49,0.74,17.92,0.79,0.21,0.71,0.91
1/7/2018,Chorizo,"2.00 Serving (11 slice - 1-3/4"" diameter x 1/8"" thick)",500.5,0,0,35.04,0.69,0.33,5.64,1.23,0.58,2.2,2.2,0,0,67.1,0.24,1.76,8.8,0.09,1.75,19.8,0.04,165,437.8,23.21,1358.5,3.75,2.05,0,0,1.94,2.05,42.1,96.8,20.24,0.4,3.32,3.81,15.82,0.21,0.3,0.79,2.43,1.88,2.66,0.52,1.26,26.51,1.62,0.31,0.82,1.01
1/7/2018,"Eggs, Cooked",3.00 large,232.5,0,0,111.93,0.1,0.77,0.1,2.1,0.18,1.67,66,780,0,130.5,1.55,0.45,75,0.02,1.79,15,0.04,258,189,46.2,186,1.58,1.68,0,0,1.68,1.68,15.92,559.5,6.12,0.1,2.01,2.12,4.9,0,0.44,0.45,1.03,1.61,1.36,0.59,1,18.87,0.91,0.23,0.77,1.15
1/7/2018,"Moser Roth, Finest Dark, 85% Cocoa",1.00 Bar,149.28,,,,,,,,,,,,,,,,,,,,,,,,25,,5.1,,,3.5,5.1,12.5,,,,,,7.7,,,,,,,,,2.8,,,,
1/7/2018,"Turkey Breast, Skin Eaten",0.77 cup,345.92,0,0,124.47,0.08,0.22,14.68,1.03,0.55,0.39,5.64,154.16,0,9.4,0.51,0.38,24.44,0.08,1.73,41.36,0.03,293.28,334.64,40.98,116.56,1.82,0,0,0,0,0,13.95,141,5.45,0.19,2.65,2.97,3.91,0.28,0.67,1.55,2.63,3.8,4.27,1.39,2.02,51.49,2.15,0.59,1.69,2.52
1/8/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
1/8/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2018,"Isopure, Protein Powder, Creamy Vanilla, ",0.50 x 2.0 Scoopfuls,105,,,,0.38,0.43,5,2.5,0.5,1.5,100,1250,15,,5.03,20,300,,5.4,100,0.5,250,375,17.5,160,,0,0,,0,0,0.5,2.5,,,,,0.25,0,,,,,,,,25,,,,
1/8/2018,"Turkey Breast, Skin Eaten",0.90 cup,404.8,0,0,145.66,0.09,0.25,17.18,1.2,0.64,0.46,6.6,180.4,0,11,0.59,0.44,28.6,0.1,2.02,48.4,0.04,343.2,391.6,47.96,136.4,2.13,0,0,0,0,0,16.32,165,6.38,0.22,3.1,3.48,4.58,0.33,0.79,1.81,3.08,4.44,5,1.63,2.36,60.26,2.51,0.69,1.98,2.95
1/8/2018,"Planters, Peanuts, Salted",4.05 x 35.0 Each,688.49,0,,,,,16.2,,,,,0,0,,12.21,,81,1.21,5.83,162,2.02,404.99,809.99,,465.74,,20.25,8.1,,4.05,12.15,56.7,0,28.35,,,18.22,8.1,,,,,,,,,28.35,,,,
1/8/2018,"Turkey Breast, Skin Eaten",1.12 cup,506,0,0,182.08,0.11,0.32,21.47,1.5,0.8,0.58,8.25,225.5,0,13.75,0.74,0.55,35.75,0.12,2.53,60.5,0.05,429,489.5,59.95,170.5,2.67,0,0,0,0,0,20.41,206.25,7.98,0.27,3.88,4.35,5.72,0.41,0.99,2.27,3.85,5.55,6.25,2.04,2.95,75.32,3.14,0.86,2.48,3.69
1/8/2018,"Cranberries, Fresh","1.01 cup, chopped",51.06,0,0,96.93,0.01,0.02,0.11,0.33,0.06,0,1.11,69.93,15.54,0,1.47,5.55,8.88,0.06,0.26,6.66,0.3,12.21,88.8,0.11,2.22,0.1,13.29,4,0,4.74,9.29,0.14,0,0.02,0.02,0.04,0.06,0.01,0,0,0.02,0.04,0.06,0.04,0,0.04,0.51,0.03,0,0.04,0.05
1/8/2018,"Mushrooms, Raw","1.18 cup, whole pieces",24.95,0,0,104.84,0.09,0.46,4.09,1.7,0.12,0.05,19.28,0,2.38,7.94,0.01,0,3.4,0.36,0.57,10.21,0.05,97.52,360.61,10.55,5.67,0.59,3.7,1.13,0.67,2.25,2.56,0.39,0,0,0,0.18,0.18,0.06,0,0.01,0.06,0.09,0.14,0.12,0.04,0.1,3.5,0.12,0.04,0.05,0.26
1/8/2018,"Radish, Raw",1.23 cup,36.29,0,0,216.07,0.03,0.09,0.58,0.37,0.16,0,56.7,15.88,33.57,0,0,3.18,56.7,0.11,0.77,22.68,0.16,45.36,528.44,1.36,88.45,0.64,7.71,3.63,0,4.22,4.08,0.23,0,0.04,0.07,0.04,0.11,0.07,0,0.02,0.03,0.05,0.07,0.07,0.02,0.08,1.54,0.05,0.02,0.02,0.08
1/8/2018,"Moser Roth, Finest Dark, 85% Cocoa",1.00 Bar,149.28,,,,,,,,,,,,,,,,,,,,,,,,25,,5.1,,,3.5,5.1,12.5,,,,,,7.7,,,,,,,,,2.8,,,,
1/8/2018,"Almonds, Dry Roasted, Salted",1.07 FDA Serving Size,191.36,0,0,0.77,0.02,0.38,1.16,0.1,0.04,0,17.6,0.32,0,0,7.65,0,85.76,0.35,1.19,89.28,0.71,150.72,228.16,0.64,159.36,1.06,6.72,3.49,0.23,1.56,3.24,16.81,0,10.58,0,4.14,4.15,1.31,0,0.07,0.17,0.24,0.47,0.18,0.05,0.36,6.71,0.19,0.07,0.14,0.27
1/9/2018,"Centrum, Silver Men 50+",1.00 Tablet,,,,,1.5,1.7,20,10,6,100,300,3500,120,1000,40.27,60,210,0.5,,75,4,20,80,21,,15,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2018,"Nature Made, Fish Oil 1200 mg",1.00 x 2.0 Softgels,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,25,0.5,0.72,,1,1,,,,,,,,,0.5,,,,
1/9/2018,"Bulk Supplements, Creatine Monohydrate",5.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2018,"Spring Valley, Magnesium Citrate",2.00 capsule,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2018,"Member's Mark, Vitamin D3, 5000 IU",1.00 Softgel,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2018,"Isopure, Protein Powder, Creamy Vanilla, ",0.50 x 2.0 Scoopfuls,105,,,,0.38,0.43,5,2.5,0.5,1.5,100,1250,15,,5.03,20,300,,5.4,100,0.5,250,375,17.5,160,,0,0,,0,0,0.5,2.5,,,,,0.25,0,,,,,,,,25,,,,
1/9/2018,"Almonds, Dry Roasted, Salted","0.63 cup, ground",358.8,0,0,1.45,0.05,0.72,2.18,0.19,0.08,0,33,0.6,0,0,14.34,0,160.8,0.66,2.24,167.4,1.34,282.6,427.8,1.2,298.8,1.99,12.61,6.54,0.44,2.92,6.07,31.52,0,19.85,0,7.77,7.77,2.46,0,0.13,0.32,0.45,0.88,0.34,0.09,0.67,12.58,0.36,0.13,0.27,0.51
1/9/2018,"Turkey Breast, Skin Eaten",0.77 cup,345.92,0,0,124.47,0.08,0.22,14.68,1.03,0.55,0.39,5.64,154.16,0,9.4,0.51,0.38,24.44,0.08,1.73,41.36,0.03,293.28,334.64,40.98,116.56,1.82,0,0,0,0,0,13.95,141,5.45,0.19,2.65,2.97,3.91,0.28,0.67,1.55,2.63,3.8,4.27,1.39,2.02,51.49,2.15,0.59,1.69,2.52
1/9/2018,"Aldi-benner Company, Southern Grove, Sunflower Kernels, Roasted & Salted",3.00 x 0.25 cup,540.12,,,,,,,,,,,0,0,,,,59.64,,4.32,,,,,,630,,12,8.99,,3,3.02,42,0,,,,,6,0,,,,,,,,24,,,,
1/9/2018,"Turkey Breast, Skin Eaten",0.75 cup,336.72,0,0,121.16,0.08,0.21,14.29,1,0.53,0.38,5.49,150.06,0,9.15,0.49,0.37,23.79,0.08,1.68,40.26,0.03,285.48,325.74,39.89,113.46,1.78,0,0,0,0,0,13.58,137.25,5.31,0.18,2.58,2.89,3.81,0.27,0.66,1.51,2.56,3.69,4.16,1.36,1.97,50.12,2.09,0.57,1.65,2.46
1/9/2018,"Broccoli, Cooked From Fresh","3.00 small - stalk - 5"" long",147,0,0,374.85,0.26,0.52,2.32,2.59,0.84,0,453.6,6501.6,272.58,0,8.48,592.2,168,0.26,2.81,88.2,0.81,281.4,1230.6,6.72,172.2,1.89,30.16,13.86,0,5.84,16.3,1.72,0,0.17,0.5,0.21,0.71,0.33,0,0.13,0.26,0.39,0.62,0.65,0.18,0.49,10,0.4,0.14,0.25,0.58
1/9/2018,"Cranberries, Fresh","1.03 x 0.5 cup, chopped",26.08,0,0,49.51,0.01,0.01,0.06,0.17,0.03,0,0.57,35.72,7.94,0,0.75,2.83,4.54,0.03,0.13,3.4,0.15,6.24,45.36,0.06,1.13,0.05,6.79,2.04,0,2.42,4.75,0.07,0,0.01,0.01,0.02,0.03,0,0,0,0.01,0.02,0.03,0.02,0,0.02,0.26,0.02,0,0.02,0.03
